algorithm;timed out;problem instance;equilibrium type;margin of error;number of disconnected components of the party graph;number of players;party graph average density;party graph max degree;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
P-DPOP;0;partyProblem_1548913670944;pure Nash;0.0;1;3;0.6666666666666666;2;0;50;3618;60233;690;4;infinity;infinity
DPOP;0;partyProblem_1548913671776;pure Nash;0.0;1;4;0.5;2;0;37;30;6456;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913671776;pure Nash;0.0;1;4;0.5;2;0;54;5424;88689;642;2;infinity;infinity
DPOP;0;partyProblem_1548913672662;pure Nash;0.0;1;5;0.4;3;0;35;40;8624;450;2;0;0
P-DPOP;0;partyProblem_1548913672662;pure Nash;0.0;1;5;0.4;3;0;57;7234;119277;740;4;0;0
DPOP;0;partyProblem_1548913673724;pure Nash;0.0;1;6;0.3333333333333333;3;0;32;50;10774;450;2;0;0
P-DPOP;0;partyProblem_1548913673724;pure Nash;0.0;1;6;0.3333333333333333;3;0;53;9044;150121;790;4;0;0
DPOP;0;partyProblem_1548913674903;pure Nash;0.0;1;7;0.2857142857142857;3;0;33;63;13413;450;2;0;0
P-DPOP;0;partyProblem_1548913674903;pure Nash;0.0;1;7;0.2857142857142857;3;0;54;10856;181741;789;4;0;0
DPOP;0;partyProblem_1548913676203;pure Nash;0.0;1;2;1.0;1;0;29;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913676203;pure Nash;0.0;1;2;1.0;1;0;43;1810;30330;538;2;0;0
DPOP;0;partyProblem_1548913676962;pure Nash;0.0;1;3;0.6666666666666666;2;0;34;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913676962;pure Nash;0.0;1;3;0.6666666666666666;2;0;53;3618;60135;642;3;0;0
DPOP;0;partyProblem_1548913677864;pure Nash;0.0;1;4;0.5;2;0;32;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548913677864;pure Nash;0.0;1;4;0.5;2;0;47;5426;89703;690;4;0;0
