algorithm;timed out;problem instance;equilibrium type;margin of error;number of disconnected components of the party graph;number of players;party graph average density;party graph max degree;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;partyProblem_1548914133192;pure Nash;0.0;1;5;0.4;3;0;31;40;8614;450;2;0;0
P-DPOP;0;partyProblem_1548914133192;pure Nash;0.0;1;5;0.4;3;0;49;7236;120213;790;4;0;0
DPOP;0;partyProblem_1548914134222;pure Nash;0.0;1;6;0.3333333333333333;3;0;32;51;10832;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914134222;pure Nash;0.0;1;6;0.3333333333333333;3;0;59;9042;148967;789;4;infinity;infinity
DPOP;0;partyProblem_1548914135347;pure Nash;0.0;1;7;0.2857142857142857;3;0;34;63;13413;450;2;0;0
P-DPOP;0;partyProblem_1548914135347;pure Nash;0.0;1;7;0.2857142857142857;3;0;62;10848;177137;642;2;0;0
DPOP;0;partyProblem_1548914136648;pure Nash;0.0;1;2;1.0;1;0;29;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548914136648;pure Nash;0.0;1;2;1.0;1;0;44;1808;29522;641;2;0;0
DPOP;0;partyProblem_1548914137424;pure Nash;0.0;1;3;0.6666666666666666;2;0;32;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548914137424;pure Nash;0.0;1;3;0.6666666666666666;2;0;51;3620;60909;629;3;0;0
DPOP;0;partyProblem_1548914138240;pure Nash;0.0;1;4;0.5;2;0;33;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548914138240;pure Nash;0.0;1;4;0.5;2;0;55;5426;89550;642;3;0;0
DPOP;0;partyProblem_1548914139209;pure Nash;0.0;1;5;0.4;3;0;34;40;8614;450;2;0;0
P-DPOP;0;partyProblem_1548914139209;pure Nash;0.0;1;5;0.4;3;0;59;7232;117889;642;2;0;0
DPOP;0;partyProblem_1548914140274;pure Nash;0.0;1;6;0.3333333333333333;3;0;38;51;10832;450;2;0;0
P-DPOP;0;partyProblem_1548914140274;pure Nash;0.0;1;6;0.3333333333333333;3;0;60;9042;149296;642;3;0;0
DPOP;0;partyProblem_1548914141603;pure Nash;0.0;1;7;0.2857142857142857;3;0;37;64;13601;450;3;0;0
P-DPOP;0;partyProblem_1548914141603;pure Nash;0.0;1;7;0.2857142857142857;3;0;60;10848;177255;667;2;0;0
DPOP;0;partyProblem_1548914142854;pure Nash;0.0;1;2;1.0;1;0;30;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548914142854;pure Nash;0.0;1;2;1.0;1;0;49;1808;29518;642;2;0;0
DPOP;0;partyProblem_1548914143549;pure Nash;0.0;1;3;0.6666666666666666;2;0;27;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548914143549;pure Nash;0.0;1;3;0.6666666666666666;2;0;47;3616;59019;642;2;0;0
DPOP;0;partyProblem_1548914144367;pure Nash;0.0;1;4;0.5;2;0;31;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548914144367;pure Nash;0.0;1;4;0.5;2;0;61;5428;90705;641;3;0;0
DPOP;0;partyProblem_1548914145272;pure Nash;0.0;1;5;0.4;3;0;36;40;8616;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914145272;pure Nash;0.0;1;5;0.4;3;0;56;7234;119754;790;4;infinity;infinity
DPOP;0;partyProblem_1548914146397;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;51;10824;450;2;0;0
P-DPOP;0;partyProblem_1548914146397;pure Nash;0.0;1;6;0.3333333333333333;3;0;56;9046;150999;790;4;0;0
DPOP;0;partyProblem_1548914147469;pure Nash;0.0;1;7;0.2857142857142857;3;0;33;64;13537;450;3;infinity;infinity
P-DPOP;0;partyProblem_1548914147469;pure Nash;0.0;1;7;0.2857142857142857;3;0;54;10854;181319;891;5;infinity;infinity
DPOP;0;partyProblem_1548914148652;pure Nash;0.0;1;2;1.0;1;0;29;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548914148652;pure Nash;0.0;1;2;1.0;1;0;50;1808;29588;642;2;0;0
DPOP;0;partyProblem_1548914149343;pure Nash;0.0;1;3;0.6666666666666666;2;0;34;20;4304;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914149343;pure Nash;0.0;1;3;0.6666666666666666;2;0;54;3616;59057;642;2;infinity;infinity
DPOP;0;partyProblem_1548914150161;pure Nash;0.0;1;4;0.5;2;0;31;30;6450;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914150161;pure Nash;0.0;1;4;0.5;2;0;61;5426;89732;690;4;infinity;infinity
DPOP;0;partyProblem_1548914151111;pure Nash;0.0;1;5;0.4;3;0;35;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548914151111;pure Nash;0.0;1;5;0.4;3;0;54;7232;118167;642;2;0;0
DPOP;0;partyProblem_1548914152282;pure Nash;0.0;1;6;0.3333333333333333;3;0;40;51;10850;450;2;0;0
P-DPOP;0;partyProblem_1548914152282;pure Nash;0.0;1;6;0.3333333333333333;3;0;69;9050;153827;891;5;0;0
DPOP;0;partyProblem_1548914153499;pure Nash;0.0;1;7;0.2857142857142857;3;0;35;64;13601;450;3;0;0
P-DPOP;0;partyProblem_1548914153499;pure Nash;0.0;1;7;0.2857142857142857;3;0;76;10850;178329;790;4;0;0
DPOP;0;partyProblem_1548914154790;pure Nash;0.0;1;2;1.0;1;0;28;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548914154790;pure Nash;0.0;1;2;1.0;1;0;46;1810;30296;538;2;0;0
DPOP;0;partyProblem_1548914155541;pure Nash;0.0;1;3;0.6666666666666666;2;0;29;20;4304;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914155541;pure Nash;0.0;1;3;0.6666666666666666;2;0;50;3620;61057;690;4;infinity;infinity
DPOP;0;partyProblem_1548914156374;pure Nash;0.0;1;4;0.5;2;0;31;30;6466;450;2;0;0
P-DPOP;0;partyProblem_1548914156374;pure Nash;0.0;1;4;0.5;2;0;47;5428;90586;654;3;0;0
DPOP;0;partyProblem_1548914157283;pure Nash;0.0;1;5;0.4;3;0;36;40;8608;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914157283;pure Nash;0.0;1;5;0.4;3;0;62;7236;120337;790;4;infinity;infinity
DPOP;0;partyProblem_1548914158389;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;51;10840;450;2;0;0
P-DPOP;0;partyProblem_1548914158389;pure Nash;0.0;1;6;0.3333333333333333;3;0;51;9042;148958;840;4;0;0
DPOP;0;partyProblem_1548914159485;pure Nash;0.0;1;7;0.2857142857142857;3;0;33;63;13381;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914159485;pure Nash;0.0;1;7;0.2857142857142857;3;0;53;10852;179374;1070;6;infinity;infinity
DPOP;0;partyProblem_1548914160753;pure Nash;0.0;1;2;1.0;1;0;36;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548914160753;pure Nash;0.0;1;2;1.0;1;0;43;1808;29496;641;2;0;0
DPOP;0;partyProblem_1548914161459;pure Nash;0.0;1;3;0.6666666666666666;2;0;28;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548914161459;pure Nash;0.0;1;3;0.6666666666666666;2;0;52;3618;60264;689;4;0;0
DPOP;0;partyProblem_1548914162299;pure Nash;0.0;1;4;0.5;2;0;38;30;6452;450;2;0;0
P-DPOP;0;partyProblem_1548914162299;pure Nash;0.0;1;4;0.5;2;0;51;5424;88721;642;2;0;0
DPOP;0;partyProblem_1548914163254;pure Nash;0.0;1;5;0.4;3;0;31;40;8612;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914163254;pure Nash;0.0;1;5;0.4;3;0;65;7234;119310;789;4;infinity;infinity
DPOP;0;partyProblem_1548914164340;pure Nash;0.0;1;6;0.3333333333333333;3;0;31;50;10770;450;2;0;0
P-DPOP;0;partyProblem_1548914164340;pure Nash;0.0;1;6;0.3333333333333333;3;0;53;9044;150851;1222;6;0;0
DPOP;0;partyProblem_1548914165463;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;63;13381;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914165463;pure Nash;0.0;1;7;0.2857142857142857;3;0;60;10850;178630;642;3;infinity;infinity
DPOP;0;partyProblem_1548914166702;pure Nash;0.0;1;2;1.0;1;0;29;13;2605;447;2;infinity;infinity
P-DPOP;0;partyProblem_1548914166702;pure Nash;0.0;1;2;1.0;1;0;47;1808;29556;641;2;infinity;infinity
DPOP;0;partyProblem_1548914167432;pure Nash;0.0;1;3;0.6666666666666666;2;0;28;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548914167432;pure Nash;0.0;1;3;0.6666666666666666;2;0;54;3618;59997;641;2;0;0
DPOP;0;partyProblem_1548914168284;pure Nash;0.0;1;4;0.5;2;0;31;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548914168284;pure Nash;0.0;1;4;0.5;2;0;54;5424;88734;642;2;0;0
DPOP;0;partyProblem_1548914169256;pure Nash;0.0;1;5;0.4;3;0;31;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548914169256;pure Nash;0.0;1;5;0.4;3;0;60;7236;122146;1272;6;0;0
DPOP;0;partyProblem_1548914170271;pure Nash;0.0;1;6;0.3333333333333333;3;0;35;51;10832;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914170271;pure Nash;0.0;1;6;0.3333333333333333;3;0;57;9042;148696;790;4;infinity;infinity
DPOP;0;partyProblem_1548914171414;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;63;13431;450;2;0;0
P-DPOP;0;partyProblem_1548914171414;pure Nash;0.0;1;7;0.2857142857142857;3;0;55;10854;182175;1172;6;0;0
DPOP;0;partyProblem_1548914172652;pure Nash;0.0;1;2;1.0;1;0;31;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548914172652;pure Nash;0.0;1;2;1.0;1;0;48;1810;30317;538;2;0;0
DPOP;0;partyProblem_1548914173362;pure Nash;0.0;1;3;0.6666666666666666;2;0;33;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548914173362;pure Nash;0.0;1;3;0.6666666666666666;2;0;65;3620;61039;629;3;0;0
DPOP;0;partyProblem_1548914174248;pure Nash;0.0;1;4;0.5;2;0;33;30;6448;450;2;0;0
P-DPOP;0;partyProblem_1548914174248;pure Nash;0.0;1;4;0.5;2;0;54;5426;89443;642;2;0;0
DPOP;0;partyProblem_1548914175218;pure Nash;0.0;1;5;0.4;3;0;43;40;8616;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914175218;pure Nash;0.0;1;5;0.4;3;0;66;7234;119592;789;4;infinity;infinity
DPOP;0;partyProblem_1548914176334;pure Nash;0.0;1;6;0.3333333333333333;3;0;37;51;10832;450;2;0;0
P-DPOP;0;partyProblem_1548914176334;pure Nash;0.0;1;6;0.3333333333333333;3;0;58;9040;148038;642;2;0;0
DPOP;0;partyProblem_1548914177647;pure Nash;0.0;1;7;0.2857142857142857;3;0;38;64;13601;450;3;0;0
P-DPOP;0;partyProblem_1548914177647;pure Nash;0.0;1;7;0.2857142857142857;3;0;63;10852;179536;790;4;0;0
